link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
1,10.0,1.1574074074074077E-4,100.00805620452759,1.0,1.0,100.0,100.0
2,10.0,1.273148148148148E-4,100.00431043540611,0.9999625511593307,0.9999625511593307,11.0,11.0
3,10.0,5.7870370370370386E-5,100.00739390335028,0.9999933833721953,0.9999933833721953,5.0,5.0
4,10.0,9.259259259259257E-5,100.00293885546037,0.9999488364570495,0.9999488364570495,8.0,8.0
5,10.0,5.7870370370370386E-5,100.00681905001113,0.9999876352986498,0.9999876352986498,5.0,5.0
6,10.0,4.5138888888888887E-4,99.97138152067805,0.9996332942072446,0.9996332942072446,39.0,39.0
7,10.0,1.620370370370371E-4,99.9999842470001,0.9999192927359445,0.9999192927359445,14.0,14.0
8,10.0,2.3148148148148144E-5,100.00797228573043,0.999999166733328,0.999999166733328,2.0,2.0
9,10.0,9.259259259259257E-5,100.00437077633755,0.9999631545203763,0.9999631545203763,8.0,8.0
10,10.0,9.259259259259257E-5,100.00401457905801,0.9999595928325158,0.9999595928325158,8.0,8.0
11,5.0,4.583333333333334E-4,99.95201710991493,0.9994369106625062,0.9994369106625062,11.0,11.0
12,5.0,2.0833333333333332E-4,99.98782237844438,0.9997949347058771,0.9997949347058771,5.0,5.0
13,5.0,3.333333333333334E-4,99.96993039908057,0.9996160292246774,0.9996160292246774,8.0,8.0
14,5.0,2.0833333333333332E-4,99.98449585782528,0.9997616721606897,0.9997616721606897,5.0,5.0
15,5.0,0.0016249999999999995,99.81326133391816,0.9980494638982795,0.9980494638982795,39.0,39.0
16,5.0,5.833333333333335E-4,99.9214885207147,0.9991316491914215,0.9991316491914215,14.0,14.0
17,5.0,8.333333333333334E-5,100.00824721504569,0.999999166733328,0.999999166733328,2.0,2.0
18,5.0,3.333333333333334E-4,99.96062687358857,0.9995230014119825,0.9995230014119825,8.0,8.0
19,5.0,3.333333333333334E-4,99.97262216362579,0.9996429447168903,0.9996429447168903,8.0,8.0
20,10.0,1.1574074074074076E-4,100.00805620452759,1.0,1.0,100.0,100.0
21,10.0,1.1574074074074076E-4,100.00763661054178,0.99999583366664,0.99999583366664,100.0,100.0
22,35.0,1.1574074074074076E-4,100.00759898875494,0.99999583366664,0.99999583366664,100.0,100.0
23,10.0,1.1574074074074076E-4,100.00763661054178,0.99999583366664,0.99999583366664,100.0,100.0
