purpose,h,arrival,departure
h,6,0.0,0.472636815920398
h,7,0.472636815920398,0.004975124378109453
h,8,0.004975124378109453,0.009950248756218905
h,9,0.009950248756218905,0.004975124378109453
h,10,0.004975124378109453,0.0
h,12,0.0,0.004975124378109453
h,13,0.004975124378109453,0.0
w,5,0.0,0.014925373134328358
w,6,0.5024875621890548,0.48756218905472637
